name,nationality,year,rating,roles
donk,Russia,2025,1.39,
ZywOo,France,2025,1.32,
m0NESY,Russia,2025,1.24,
KSCERATO,Brazil,2025,1.19,
sh1ro,Russia,2025,1.19,
Twistzz,Canada,2025,1.16,
ropz,Estonia,2025,1.16,
frozen,Slovakia,2025,1.16,
kyousuke,Russia,2025,1.16,
XANTARES,Turkey,2025,1.14,
HeavyGod,Israel,2025,1.13,
molodoy,Kazakhstan,2025,1.12,
NiKo,Bosnia,2025,1.12,
Senzu,Mongolia,2025,1.12,
tN1R,Belarus,2025,1.12,
latto,Brazil,2025,1.11,
flameZ,Israel,2025,1.11,
PR,Czechia,2025,1.11,
Spinx,Israel,2025,1.11,
JamYoung,China,2025,1.11,
YEKINDAR,Latvia,2025,1.10,
MATYS,Slovakia,2025,1.10,
REZ,Sweden,2025,1.10,
Wicadia,Turkey,2025,1.09,
iM,Romania,2025,1.09,
Grim,USA,2025,1.09,
EliGE,USA,2025,1.09,
b1t,Ukraine,2025,1.08,
xertioN,Israel,2025,1.08,
w0nderful,Ukraine,2025,1.08,
npl,Ukraine,2025,1.08,
mezii,UK,2025,1.08,
FL1T,Russia,2025,1.07,
makazze,Kosovo,2025,1.07,
insani,Brazil,2025,1.07,
zont1x,Ukraine,2025,1.06,
Staehr,Denmark,2025,1.06,
torzsi,Hungary,2025,1.06,
jL,Lithuania,2025,1.05,
yuurih,Brazil,2025,1.05,
nqz,Brazil,2025,1.05,
Starry,China,2025,1.05,
z4KR,China,2025,1.05,
mzinho,Mongolia,2025,1.04,
Maka,France,2025,1.04,
stavn,Denmark,2025,1.04,
xfl0ud,Turkey,2025,1.04,
kensizor,Ukraine,2025,1.04,
nilo,Sweden,2025,1.04,
woxic,Turkey,2025,1.04,
910,Mongolia,2025,1.04,
esenthial,Ukraine,2025,1.04,
fame,Russia,2025,1.04,
Moseyuh,China,2025,1.04,
Jimpphat,Finland,2025,1.04,
dumau,Brazil,2025,1.03,
hallzerk,Norway,2025,1.03,
malbsMd,Guatemala,2025,1.03,
device,Denmark,2025,1.03,
NertZ,Israel,2025,1.02,
jabbi,Denmark,2025,1.02,
broky,Latvia,2025,1.02,
rain,Norway,2025,1.02,
bodyy,France,2025,1.02,
dgt,Uruguay,2025,1.02,
Lake,USA,2025,1.02,
Alkaren,Kazakhstan,2025,1.02,
SunPayus,Spain,2025,1.02,
saadzin,Brazil,2025,1.02,
Tauson,Denmark,2025,1.02,
Lucky,France,2025,1.02,
n1ssim,Brazil,2025,1.02,
degster,Russia,2025,1.01,
slaxz-,Germany,2025,1.01,
jcobbb,Poland,2025,1.01,
Ex3rcice,France,2025,1.01,
hyped,Germany,2025,1.01,
jottAAA,Turkey,2025,1.00,
TeSeS,Denmark,2025,1.00,
magixx,Russia,2025,1.00,
ultimate,Poland,2025,1.00,
bLitz,Mongolia,2025,1.00,
dav1deuS,Chile,2025,0.99,
Mercury,China,2025,0.99,
ICY,Kazakhstan,2025,0.99,
Ag1l,Portugal,2025,0.99,
sl3nd,Hungary,2025,0.98,
Cxzi,USA,2025,0.98,
hades,Poland,2025,0.97,
skullz,Brazil,2025,0.97,
JT,South Africa,2025,0.97,
Techno,Mongolia,2025,0.97,
story,Portugal,2025,0.97,
huNter-,Bosnia,2025,0.97,
biguzera,Brazil,2025,0.97,
yxngstxr,Sweden,2025,0.97,
Jee,China,2025,0.97,
FL4MUS,Russia,2025,0.97,
Krimbo,Germany,2025,0.96,
Magisk,Denmark,2025,0.96,
NAF,Canada,2025,0.96,
Graviti,France,2025,0.96,
kyxsan,North Macedonia,2025,0.96,
JDC,Germany,2025,0.96,
electroNic,Russia,2025,0.96,
alex666,Ukraine,2025,0.95,
tabseN,Germany,2025,0.95,
zweih,Russia,2025,0.95,
Perfecto,Russia,2025,0.95,
headtr1ck,Ukraine,2025,0.95,
Brollan,Sweden,2025,0.94,
jks,Australia,2025,0.94,
snow,Brazil,2025,0.93,
lux,Brazil,2025,0.93,
Westmelon,China,2025,0.93,
nicx,USA,2025,0.92,
s1n,Germany,2025,0.92,
apEX,France,2025,0.92,
Swisher,USA,2025,0.92,
MUTiRiS,Portugal,2025,0.92,
saffee,Brazil,2025,0.92,
kyuubii,Germany,2025,0.91,
HooXi,Denmark,2025,0.91,
exit,Brazil,2025,0.91,
chelo,Brazil,2025,0.91,
Aleksib,Finland,2025,0.90,
FalleN,Brazil,2025,0.90,
EmiliaQAQ,China,2025,0.90,
Snax,Poland,2025,0.90,
hypex,Poland,2025,0.89,
siuhy,Poland,2025,0.89,
Lucaozy,Brazil,2025,0.89,
chopper,Russia,2025,0.89,
LNZ,Sweden,2025,0.89,
brnz4n,Brazil,2025,0.89,
kauez,Brazil,2025,0.88,
C4LLM3SU3,China,2025,0.88,
ztr,Sweden,2025,0.86,
Attacker,China,2025,0.86,
MAJ3R,Turkey,2025,0.86,
karrigan,Denmark,2025,0.85,
cadiaN,Denmark,2025,0.84,
